CLIENT HOST	TOTAL	SUC_RATIO	NORMAL	WRONG	LOSS	DELAY
192.168.111.1:9001	3467	97.78%	3434	10	23	0
	2024-12-20 15:25:17:120 CST	DATA_seq: 8901		ACKed
	2024-12-20 15:25:17:136 CST	DATA_seq: 9001		ACKed
	2024-12-20 15:25:17:152 CST	DATA_seq: 9101		ACKed
	2024-12-20 15:25:17:167 CST	DATA_seq: 9201		ACKed
	2024-12-20 15:25:17:183 CST	DATA_seq: 9301		ACKed
	2024-12-20 15:25:17:198 CST	DATA_seq: 9401		ACKed
	2024-12-20 15:25:17:213 CST	DATA_seq: 9501		ACKed
	2024-12-20 15:25:17:229 CST	DATA_seq: 9601		ACKed
	2024-12-20 15:25:17:244 CST	DATA_seq: 9701		ACKed
	2024-12-20 15:25:17:260 CST	DATA_seq: 9801		ACKed
	2024-12-20 15:25:17:276 CST	DATA_seq: 9901		ACKed
	2024-12-20 15:25:17:292 CST	DATA_seq: 10001		ACKed
	2024-12-20 15:25:17:308 CST	DATA_seq: 10101		ACKed
	2024-12-20 15:25:17:324 CST	DATA_seq: 10201		ACKed
	2024-12-20 15:25:17:341 CST	DATA_seq: 10301		ACKed
	2024-12-20 15:25:17:355 CST	DATA_seq: 10401		ACKed
	2024-12-20 15:25:17:371 CST	DATA_seq: 10501		ACKed
	2024-12-20 15:25:17:387 CST	DATA_seq: 10601		ACKed
	2024-12-20 15:25:17:403 CST	DATA_seq: 10701		ACKed
	2024-12-20 15:25:17:418 CST	DATA_seq: 10801		ACKed
	2024-12-20 15:25:17:434 CST	DATA_seq: 10901		ACKed
	2024-12-20 15:25:17:449 CST	DATA_seq: 11001		ACKed
	2024-12-20 15:25:17:464 CST	DATA_seq: 11101		ACKed
	2024-12-20 15:25:17:481 CST	DATA_seq: 11201		ACKed
	2024-12-20 15:25:17:496 CST	DATA_seq: 11301		ACKed
	2024-12-20 15:25:17:513 CST	DATA_seq: 11401		ACKed
	2024-12-20 15:25:17:528 CST	DATA_seq: 11401		ACKed
	2024-12-20 15:25:17:528 CST	DATA_seq: 11501		NO_ACK
	2024-12-20 15:25:17:590 CST	*Re: DATA_seq: 11501		ACKed
	2024-12-20 15:25:17:606 CST	DATA_seq: 11601		ACKed
	2024-12-20 15:25:17:622 CST	DATA_seq: 11601		ACKed
	2024-12-20 15:25:17:622 CST	DATA_seq: 11701		ACKed
	2024-12-20 15:25:17:652 CST	DATA_seq: 11701		ACKed
	2024-12-20 15:25:17:653 CST	DATA_seq: 11801		ACKed
